Sl. No.,States/UTs,2019-20 - Allocation,2019-20 - Offtake,2019-20 - % of Offtake,2020-21 - Allocation,2020-21 - Offtake,2020-21 - % of Offtake,"2021-22 (upto January, 2022) - Allocation","2021-22 (upto January, 2022) - Offtake","2021-22 (upto January, 2022) - % of Offtake"
1,Andhra Pradesh,1871.84,1871.2,99.97,1871.84,2147.36,114.72,1559.87,1442.57,92.48
2,Arunanchal Pradesh,88.99,92.02,103.41,88.99,87.22,98.01,74.16,70.63,95.24
3,Assam,1695.13,1702.14,100.41,1694.32,1553.35,91.68,1412.2,1343.34,95.12
4,Bihar,5493.86,5404.33,98.37,5524.33,5183.86,93.84,4605.92,4091.65,88.83
5,Chhatisgarh,1384.06,1374.94,99.34,1384.06,1375.29,99.37,1153.38,1146.64,99.42
6,Delhi,450.87,436.49,96.81,450.69,449.47,99.73,373.91,335.63,89.76
7,Goa,59.04,59.04,100,58.17,56,96.26,49.2,48.3,98.16
8,Gujarat,2379.46,1924.61,80.88,2178.4,2011.14,92.32,1810.94,1651,91.17
9,Haryana,795,598.62,75.3,795,619.66,77.94,662.5,523.35,79
10,Himachal Pradesh,508.02,511.82,100.75,508.02,507.42,99.88,423.35,419.78,99.16
11,Jharkhand,1739.51,1678.83,96.51,1739.51,1760.58,101.21,1442.29,1261.34,87.45
12,Karnataka,2608.84,2631.14,100.86,2608.8,2370.62,90.87,2174.03,1475.88,67.89
13,Kerala,1333.92,1334.32,100.03,1395.97,1395.55,99.97,1187.54,1157.42,97.46
14,Madhya Pradesh,3564.47,3394.01,95.22,3443.28,3184.18,92.48,2636.89,2534.82,96.13
15,Maharashtra,4605.19,4029.1,87.49,4605.19,3988.19,86.6,3837.66,2925.37,76.23
16,Manipur,159.12,155.86,97.95,162.6,158.87,97.7,108.39,99.36,91.66
17,Meghalaya,176.3,176.16,99.92,176.3,174.7,99.09,146.92,142.02,96.67
18,Mizoram,65.76,67.41,102.51,65.76,64.66,98.33,54.8,53.89,98.34
19,Nagaland,138.06,136.25,98.69,138.06,138.16,100.08,115.05,108.92,94.68
20,Odisha,2211.58,2047.24,92.57,2224.92,2078.53,93.42,1870.14,1927.41,103.06
21,Punjab,870.12,616.01,70.8,870.12,466.19,53.58,725.1,462.14,63.74
22,Rajasthan,2791.57,2843.39,101.86,2788.07,2752.22,98.71,2308.82,2095.87,90.78
23,Sikkim,44.32,44.08,99.45,44.32,41.71,94.1,36.94,34.98,94.69
24,Tamil Nadu,3677.75,3928.21,106.81,3677.75,3535.63,96.14,3064.79,2616.33,85.37
25,Telangana,1338,1354.6,101.24,1338,1253.72,93.7,1115,1070.8,96.04
26,Tripura,271,264.55,97.62,271.19,243.01,89.61,226.03,189.08,83.66
27,Uttar Pradesh,503,500.42,99.49,503,515.7,102.52,419.17,488.18,116.47
28,Uttrakhand,9329.51,8959.39,96.03,9436.97,9003.63,95.41,8139.4,7005.17,86.06
29,West Bengal,3970.62,3919.48,98.71,3970.62,3941.56,99.27,3308.85,3227.46,97.54
30,Andaman and Nicobar Islands,29.56,14.69,49.71,29.56,16.92,57.24,24.63,17.71,71.91
31,Chandigarh,0,0,0,0,0,0,0,0,0
32,Dadra and Nagar Haveli,11.02,11.02,100.01,15.89,14.57,91.7,12.89,11.88,92.16
33,Daman and DIU,4.77,4.29,89.82,NA,NA,NA,NA,NA,NA
34,Jammu and Kashmir,748.34,756.99,101.16,734.65,695.99,94.74,612.21,491.11,80.22
35,Ladakh,2.74,0,0,16.43,15.04,91.56,13.69,14.6,106.62
36,Lakshadweep,4.62,4.21,91.15,4.62,3.49,75.58,3.85,3.91,101.61
37,Puducherry,0,0,0,0,0,0,0,0,0
Total,Total,54925.98,52846.86,96.21,54815.41,51804.18,94.51,45710.5,40488.54,88.58
