Sl. No.,States/UTs,2017-18 - Allocation,2017-18 - Offtake,2018-19 -Allocation,2018-19 - Offtake,2019-20 - Allocation,2019-20 - Offtake,2020-21 - Allocation,2020-21 - Offtake,2021-22 - Allocation,2021-22 - Offtake,2022-23 (Upto June) - Allocation,2022-23 (Upto June) - Offtake
1,Andhra Pradesh,1871.844,1899.65,1871.844,1855.279,1871.844,1871.205,1871.844,2147.36172,1871.844,1750.85572,467.961,466.82997
2,Arunanchal Pradesh,88.992,88.693,88.992,87.032,88.992,92.023,88.992333,87.22328,88.995996,79.83993,22.248999,23.85751
3,Assam,1695.132,1690.593,1695.132,1691.029,1695.132,1702.142,1694.32366,1553.35286,1694.72616,1616.66701,423.782499,457.23421
4,Bihar,5493.86,5537.84,5493.861,5188.923,5493.861,5404.327,5524.33048,5183.8554,5527.10046,4890.7605,1381.775115,1454.38124
5,Chhatisgarh,1384.056,1376.724,1384.056,1375.528,1384.056,1374.945,1384.056,1375.29216,1384.056,1376.7389,346.014,345.64726
6,Delhi,450.873,447.342,450.872,390.997,450.873,436.49,450.690125,449.47205,448.682005,402.23462,112.167975,120.34397
7,Goa,59.003,58.221,59.031,59.031,59.045,59.045,58.173179,55.99979,59.044992,58.22279,14.761248,13.39464
8,Gujarat,2366.974,2265.754,2379.456,2046.175,2379.462,1924.614,2178.39568,2011.1394,2175.741857,2014.51517,547.20786,503.37624
9,Haryana,795,641.095,795,543.946,795,598.623,795,619.65651,795,640.43033,198.75,194.98017
10,Himachal Pradesh,508.019,492.863,508.021,504.568,508.02,511.817,508.02,507.4217,508.02,504.63442,127.005,126.92744
11,Jharkhand,1739.514,1631.415,1739.514,1698.036,1739.514,1678.827,1739.51364,1760.5839,1724.89946,1501.65514,432.655875,377.68352
12,Karnataka,2608.836,2825.25,2608.836,2609.932,2608.836,2631.142,2608.801,2370.61601,2608.820088,1839.45846,652.20933,488.57654
13,Kerala,1425.049,1437.055,1425.049,1410.293,1333.915,1334.324,1395.973326,1395.54877,1425.048996,1372.51936,356.262249,391.00783
14,Madhya Pradesh,3518.252,3350.6,3564.469,3418.672,3564.468,3394.007,3443.27698,3184.18182,3165.83812,3064.79707,793.41717,603.7027
15,Maharashtra,4605.192,4250.654,4605.192,4048.387,4605.192,4029.097,4605.191475,3988.18592,4605.192,3515.63808,1151.29766,700.86274
16,Manipur,144.349,149.306,151.832,152.542,159.122,155.855,162.59841,158.86607,130.99386,121.62272,33.957165,31.86255
17,Meghalaya,175.999,174.829,176.175,177.254,176.298,176.157,176.298,174.69633,176.298,172.01325,44.0745,43.81555
18,Mizoram,65.758,65.114,65.758,66.259,65.758,67.406,65.75796,64.66309,65.75796,64.3604,16.43949,17.29332
19,Nagaland,138.058,149.205,138.058,137.45,138.058,136.247,138.05796,138.16182,138.05796,132.70522,34.51449,36.71905
20,Odisha,2161.691,2160.186,2207.981,2333.963,2211.582,2047.239,2224.920105,2078.52866,2244.231113,1991.19807,562.42635,895.28071
21,Punjab,870.12,734.725,870.12,817.567,870.12,616.006,870.12,466.1929,870.12,879.6895,217.53,22.89225
22,Rajasthan,2791.572,2227.633,2791.572,2444.405,2791.572,2843.387,2788.072536,2752.21874,2770.58388,2543.8265,692.64597,636.71808
23,Sikkim,44.324,43.733,44.324,44.621,44.324,44.081,44.3241,41.70891,44.3241,41.47472,11.081025,10.40139
24,Tamil Nadu,3677.752,4067.097,3677.752,3580.906,3677.752,3928.213,3677.751996,3535.62603,3677.751996,2946.11916,919.437999,972.1861
25,Telangana,1338,1326.452,1338,1218.543,1338,1354.597,1338,1253.71555,1338,1292.12768,334.5,331.51214
26,Tripura,271,277.918,271,272.314,271,264.55,271.19249,243.01093,271.230996,213.15309,67.807749,63.15543
27,Uttrakhand,503,513.913,502.999,502.653,502.999,500.422,502.9992,515.69902,502.9992,570.10774,125.749,143.77235
28,Uttar Pradesh,9725.82,9608.004,9619.999,9052.057,9329.515,8959.395,9436.967199,9003.62758,9782.05441,8528.74837,2465.33887,2254.54989
29,West Bengal,3966.197,3789.799,3969.883,3897.009,3970.62,3919.479,3970.61976,3941.55765,3970.61976,3817.0318,992.65494,910.7913
30,Andaman and Nicobar Islands,29.557,16.34,29.559,17.503,29.558,14.692,29.55792,16.91922,29.55792,20.92723,7.38948,2.22977
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,Dadra and Nagar Haveli,11.147,10.58,11.147,9.368,11.016,11.017,15.89168,14.57269,15.42082,14.42158,3.796,3.709
33,Daman and Diu,5.424,5.072,5.312,4.628,4.772,4.287,NA,NA,NA,NA,NA,NA
34,Jammu and Kashmir,751.082,730.215,751.081,739.747,748.343,756.989,734.65404,695.985766,734.653992,561.972904,183.663498,123.48079
35,Ladakh,0,0,0,0,2.736,0,16.426976,15.040448,16.426992,15.237755,4.106748,6.18407
36,Lakshadweep,4.62,5.211,4.62,3.777,4.62,4.211,4.62,3.49175,4.62,4.84384,1.155,0.65522
37,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Total,Total,55286.07,54049.08,55296.5,52400.39,54925.97,52846.86,54815.412,51804.174,54866.713,48560.549,13745.784,12776.015
